"site","date","rawdata","imputed_param"
"Chullora",2003-05-23,11.3,11.3
"Chullora",2003-05-24,9,9
"Chullora",2003-05-25,5.2,5.2
"Chullora",2003-05-26,6.6,6.6
"Chullora",2003-05-27,6.8,6.8
"Chullora",2003-05-28,8.9,8.9
"Chullora",2003-05-29,15.8,15.8
"Chullora",2003-05-30,20.3,20.3
"Chullora",2003-05-31,15.3,15.3
"Chullora",2003-06-01,12.1,12.1
"Chullora",2003-06-02,12.3,12.3
"Chullora",2003-06-03,12.8,12.8
"Chullora",2003-06-04,14.9,14.9
"Chullora",2003-06-05,9.1,9.1
"Chullora",2003-06-06,14.7,14.7
"Chullora",2003-06-07,7.4,7.4
"Chullora",2003-06-08,9.9,9.9
"Chullora",2003-06-09,10.5,10.5
"Chullora",2003-06-10,20.3,20.3
"Chullora",2003-06-11,17.4,17.4
"Chullora",2003-06-12,14.1,14.1
"Chullora",2003-06-13,10.4,10.4
"Chullora",2003-06-14,9.9,9.9
"Chullora",2003-06-15,5.1,5.1
"Chullora",2003-06-16,8.7,8.7
"Chullora",2003-06-17,10.9,10.9
"Chullora",2003-06-18,14.6,14.6
"Chullora",2003-06-19,NA,22.4403429387949
"Chullora",2003-06-20,NA,30.0452530063416
"Chullora",2003-06-21,NA,11.417181391149
"Chullora",2003-06-22,NA,7.91479589729469
"Chullora",2003-06-23,NA,10.3555403810835
"Chullora",2003-06-24,NA,14.4040549490961
"Chullora",2003-06-25,NA,13.6095056071108
"Chullora",2003-06-26,8.9,8.9
"Chullora",2003-06-27,10.3,10.3
"Chullora",2003-06-28,7.5,7.5
"Chullora",2003-06-29,7.9,7.9
"Chullora",2003-06-30,13.2,13.2
"Chullora",2003-07-01,10.1,10.1
"Chullora",2003-07-02,7.4,7.4
"Chullora",2003-07-03,10.4,10.4
"Chullora",2003-07-04,10,10
"Chullora",2003-07-05,10.8,10.8
"Chullora",2003-07-06,13.3,13.3
"Chullora",2003-07-07,27.5,27.5
"Chullora",2003-07-08,23.2,23.2
"Chullora",2003-07-09,16.8,16.8
"Chullora",2003-07-10,14.4,14.4
"Chullora",2003-07-11,18,18
"Chullora",2003-07-12,9.6,9.6
"Chullora",2003-07-13,10.5,10.5
"Chullora",2003-07-14,13.3,13.3
"Chullora",2003-07-15,12.8,12.8
"Chullora",2003-07-16,18.3,18.3
"Chullora",2003-07-17,13.2,13.2
"Chullora",2003-07-18,12.5,12.5
"Chullora",2003-07-19,8.2,8.2
"Chullora",2003-07-20,8.4,8.4
"Chullora",2003-07-21,15.6,15.6
"Chullora",2003-07-22,18.5,18.5
"Chullora",2003-07-23,14.8,14.8
"Chullora",2003-07-24,5.3,5.3
"Chullora",2003-07-25,5.9,5.9
"Chullora",2003-07-26,5.6,5.6
"Chullora",2003-07-27,6.8,6.8
"Chullora",2003-07-28,14.1,14.1
"Chullora",2003-07-29,NA,NA
"Chullora",2003-07-30,NA,NA
"Chullora",2003-07-31,NA,NA
"Chullora",2003-08-01,NA,NA
"Chullora",2003-08-02,NA,NA
"Chullora",2003-08-03,NA,NA
"Chullora",2003-08-04,NA,NA
"Chullora",2003-08-05,NA,NA
"Chullora",2003-08-06,NA,NA
"Chullora",2003-08-07,NA,NA
"Chullora",2003-08-08,NA,NA
"Chullora",2003-08-09,NA,NA
"Chullora",2003-08-10,NA,NA
"Chullora",2003-08-11,NA,NA
"Chullora",2003-08-12,17.2,17.2
"Chullora",2003-08-13,11.3,11.3
"Chullora",2003-08-14,8.4,8.4
"Chullora",2003-08-15,NA,NA
"Chullora",2003-08-16,NA,NA
"Chullora",2003-08-17,NA,NA
"Chullora",2003-08-18,NA,NA
"Chullora",2003-08-19,6.3,6.3
"Chullora",2003-08-20,NA,NA
"Chullora",2003-08-21,NA,NA
"Chullora",2003-08-22,NA,NA
"Chullora",2003-08-23,19.3,19.3
"Chullora",2003-08-24,4.8,4.8
"Chullora",2003-08-25,6.4,6.4
"Chullora",2003-08-26,NA,NA
"Chullora",2003-08-27,8.2,8.2
"Chullora",2003-08-28,NA,NA
"Chullora",2003-08-29,NA,NA
"Chullora",2003-08-30,NA,NA
"Chullora",2003-08-31,5.4,5.4
"Chullora",2003-09-01,NA,NA
"Chullora",2003-09-02,NA,NA
"Chullora",2003-09-03,NA,NA
"Chullora",2003-09-04,20.4,20.4
"Chullora",2003-09-05,NA,NA
"Chullora",2003-09-06,NA,NA
"Chullora",2003-09-07,NA,NA
"Chullora",2003-09-08,NA,NA
"Chullora",2003-09-09,NA,NA
"Chullora",2003-09-10,NA,NA
"Chullora",2003-09-11,NA,NA
"Chullora",2003-09-12,NA,NA
"Chullora",2003-09-13,NA,NA
"Chullora",2003-09-14,NA,NA
"Chullora",2003-09-15,NA,NA
"Chullora",2003-09-16,NA,NA
"Chullora",2003-09-17,NA,NA
"Chullora",2003-09-18,NA,NA
"Chullora",2003-09-19,NA,NA
"Chullora",2003-09-20,NA,NA
"Chullora",2003-09-21,NA,NA
"Chullora",2003-09-22,NA,NA
"Chullora",2003-09-23,NA,NA
"Chullora",2003-09-24,NA,NA
"Chullora",2003-09-25,NA,NA
"Chullora",2003-09-26,NA,NA
"Chullora",2003-09-27,NA,NA
"Chullora",2003-09-28,NA,NA
"Chullora",2003-09-29,NA,NA
"Chullora",2003-09-30,NA,NA
"Chullora",2003-10-01,NA,NA
"Chullora",2003-10-02,NA,NA
"Chullora",2003-10-03,NA,NA
"Chullora",2003-10-04,NA,NA
"Chullora",2003-10-05,NA,NA
"Chullora",2003-10-06,NA,NA
"Chullora",2003-10-07,NA,NA
"Chullora",2003-10-08,NA,NA
"Chullora",2003-10-09,NA,NA
"Chullora",2003-10-10,NA,NA
"Chullora",2003-10-11,NA,NA
"Chullora",2003-10-12,NA,NA
"Chullora",2003-10-13,NA,NA
"Chullora",2003-10-14,NA,NA
"Chullora",2003-10-15,NA,NA
"Chullora",2003-10-16,NA,NA
"Chullora",2003-10-17,NA,NA
"Chullora",2003-10-18,NA,NA
"Chullora",2003-10-19,NA,NA
"Chullora",2003-10-20,NA,NA
"Chullora",2003-10-21,NA,NA
"Chullora",2003-10-22,NA,NA
"Chullora",2003-10-23,NA,NA
"Chullora",2003-10-24,6.6,6.6
"Chullora",2003-10-25,4.9,4.9
"Chullora",2003-10-26,6.1,6.1
"Chullora",2003-10-27,7.1,7.1
"Chullora",2003-10-28,6.9,6.9
"Chullora",2003-10-29,8.7,8.7
"Chullora",2003-10-30,6.7,6.7
"Chullora",2003-10-31,7.8,7.8
"Chullora",2003-11-01,4.8,4.8
"Chullora",2003-11-02,6.5,6.5
"Chullora",2003-11-03,7.7,7.7
"Chullora",2003-11-04,8.5,8.5
"Chullora",2003-11-05,13.1,13.1
"Chullora",2003-11-06,17.6,17.6
"Chullora",2003-11-07,9,9
"Chullora",2003-11-08,7.9,7.9
"Chullora",2003-11-09,7.1,7.1
"Chullora",2003-11-10,7.6,7.6
"Chullora",2003-11-11,15,15
"Chullora",2003-11-12,8.9,8.9
"Chullora",2003-11-13,9.2,9.2
"Chullora",2003-11-14,11.1,11.1
"Chullora",2003-11-15,13.6,13.6
"Chullora",2003-11-16,10.6,10.6
"Chullora",2003-11-17,4.6,4.6
"Chullora",2003-11-18,5.1,5.1
"Chullora",2003-11-19,8.4,8.4
"Chullora",2003-11-20,17.5,17.5
"Chullora",2003-11-21,9.4,9.4
"Chullora",2003-11-22,2.6,2.6
"Chullora",2003-11-23,3.6,3.6
"Chullora",2003-11-24,4.2,4.2
"Chullora",2003-11-25,4.3,4.3
"Chullora",2003-11-26,5,5
"Chullora",2003-11-27,4.9,4.9
"Chullora",2003-11-28,7.3,7.3
"Chullora",2003-11-29,6.2,6.2
"Chullora",2003-11-30,7.9,7.9
"Chullora",2003-12-01,13.5,13.5
"Chullora",2003-12-02,7.7,7.7
"Chullora",2003-12-03,11.5,11.5
"Chullora",2003-12-04,8.2,8.2
"Chullora",2003-12-05,8.6,8.6
"Chullora",2003-12-06,3.9,3.9
"Chullora",2003-12-07,3.6,3.6
"Chullora",2003-12-08,5.2,5.2
"Chullora",2003-12-09,7.1,7.1
"Chullora",2003-12-10,8.1,8.1
"Chullora",2003-12-11,11.8,11.8
"Chullora",2003-12-12,9.2,9.2
"Chullora",2003-12-13,9.1,9.1
"Chullora",2003-12-14,5.9,5.9
"Chullora",2003-12-15,7.5,7.5
"Chullora",2003-12-16,7.7,7.7
"Chullora",2003-12-17,7.5,7.5
"Chullora",2003-12-18,7.5,7.5
"Chullora",2003-12-19,11.7,11.7
"Chullora",2003-12-20,8.9,8.9
"Chullora",2003-12-21,5.3,5.3
"Chullora",2003-12-22,NA,5.44954109449624
"Chullora",2003-12-23,7.7,7.7
"Chullora",2003-12-24,6.5,6.5
"Chullora",2003-12-25,11.3,11.3
"Chullora",2003-12-26,9.5,9.5
"Chullora",2003-12-27,NA,8.19639113953533
"Chullora",2003-12-28,NA,5.86238384765401
"Chullora",2003-12-29,NA,7.87921782628467
"Chullora",2003-12-30,6.8,6.8
"Chullora",2003-12-31,11.8,11.8
"Chullora",2004-01-01,8.4,8.4
"Chullora",2004-01-02,5.2,5.2
"Chullora",2004-01-03,6.2,6.2
"Chullora",2004-01-04,6.7,6.7
"Chullora",2004-01-05,6.7,6.7
"Chullora",2004-01-06,8.4,8.4
"Chullora",2004-01-07,11.7,11.7
"Chullora",2004-01-08,7.8,7.8
"Chullora",2004-01-09,18.1,18.1
"Chullora",2004-01-10,23.5,23.5
"Chullora",2004-01-11,14,14
"Chullora",2004-01-12,6.8,6.8
"Chullora",2004-01-13,9.9,9.9
"Chullora",2004-01-14,9.3,9.3
"Chullora",2004-01-15,6.2,6.2
"Chullora",2004-01-16,7.7,7.7
"Chullora",2004-01-17,8.8,8.8
"Chullora",2004-01-18,7,7
"Chullora",2004-01-19,4.2,4.2
"Chullora",2004-01-20,6.9,6.9
"Chullora",2004-01-21,12.2,12.2
"Chullora",2004-01-22,9.1,9.1
"Chullora",2004-01-23,7.3,7.3
"Chullora",2004-01-24,10.1,10.1
"Chullora",2004-01-25,NA,9.42830586537928
"Chullora",2004-01-26,NA,5.32895229380693
"Chullora",2004-01-27,NA,5.50986682220278
"Chullora",2004-01-28,NA,11.321672130694
"Chullora",2004-01-29,9.9,9.9
"Chullora",2004-01-30,9.7,9.7
"Chullora",2004-01-31,7.2,7.2
"Chullora",2004-02-01,7.7,7.7
"Chullora",2004-02-02,8.5,8.5
"Chullora",2004-02-03,7.1,7.1
"Chullora",2004-02-04,6.4,6.4
"Chullora",2004-02-05,7.7,7.7
"Chullora",2004-02-06,13.7,13.7
"Chullora",2004-02-07,14.9,14.9
"Chullora",2004-02-08,10.4,10.4
"Chullora",2004-02-09,17.1,17.1
"Chullora",2004-02-10,NA,13.7381256850566
"Chullora",2004-02-11,13.7,13.7
"Chullora",2004-02-12,8.6,8.6
"Chullora",2004-02-13,10.1,10.1
"Chullora",2004-02-14,5,5
"Chullora",2004-02-15,8.7,8.7
"Chullora",2004-02-16,9.4,9.4
"Chullora",2004-02-17,7.9,7.9
"Chullora",2004-02-18,7.9,7.9
"Chullora",2004-02-19,9,9
"Chullora",2004-02-20,10.7,10.7
"Chullora",2004-02-21,9.7,9.7
"Chullora",2004-02-22,7.3,7.3
"Chullora",2004-02-23,7.4,7.4
"Chullora",2004-02-24,4.7,4.7
"Chullora",2004-02-25,3.9,3.9
"Chullora",2004-02-26,4,4
"Chullora",2004-02-27,5.4,5.4
"Chullora",2004-02-28,6.8,6.8
"Chullora",2004-02-29,10,10
"Chullora",2004-03-01,7.7,7.7
"Chullora",2004-03-02,6.5,6.5
"Chullora",2004-03-03,6.7,6.7
"Chullora",2004-03-04,7.8,7.8
"Chullora",2004-03-05,8.6,8.6
"Chullora",2004-03-06,4.7,4.7
"Chullora",2004-03-07,7.7,7.7
"Chullora",2004-03-08,13.7,13.7
"Chullora",2004-03-09,13.6,13.6
"Chullora",2004-03-10,8.2,8.2
"Chullora",2004-03-11,5.9,5.9
"Chullora",2004-03-12,12.3,12.3
"Chullora",2004-03-13,14.5,14.5
"Chullora",2004-03-14,11.4,11.4
"Chullora",2004-03-15,15.2,15.2
"Chullora",2004-03-16,12.5,12.5
"Chullora",2004-03-17,8.5,8.5
"Chullora",2004-03-18,9.9,9.9
"Chullora",2004-03-19,10.2,10.2
"Chullora",2004-03-20,16.5,16.5
"Chullora",2004-03-21,NA,6.94768807109776
"Chullora",2004-03-22,4.2,4.2
"Chullora",2004-03-23,NA,5.16505294630622
"Chullora",2004-03-24,8.5,8.5
"Chullora",2004-03-25,13.9,13.9
"Chullora",2004-03-26,NA,19.2454211663067
"Chullora",2004-03-27,NA,11.7136309346239
"Chullora",2004-03-28,NA,8.21109329913434
"Chullora",2004-03-29,NA,9.71843900907535
"Chullora",2004-03-30,NA,11.6966724115074
"Chullora",2004-03-31,13.2,13.2
"Chullora",2004-04-01,12.1,12.1
"Chullora",2004-04-02,13,13
"Chullora",2004-04-03,10.3,10.3
"Chullora",2004-04-04,NA,5.67989320935569
"Chullora",2004-04-05,8,8
"Chullora",2004-04-06,NA,7.87855153957893
"Chullora",2004-04-07,7.1,7.1
"Chullora",2004-04-08,6.6,6.6
"Chullora",2004-04-09,6.5,6.5
"Chullora",2004-04-10,10.3,10.3
"Chullora",2004-04-11,11.2,11.2
"Chullora",2004-04-12,11,11
"Chullora",2004-04-13,6.6,6.6
"Chullora",2004-04-14,10.7,10.7
"Chullora",2004-04-15,9.1,9.1
"Chullora",2004-04-16,NA,14.1010302741764
"Chullora",2004-04-17,NA,12.9583546191375
"Chullora",2004-04-18,NA,5.16657663141207
"Chullora",2004-04-19,NA,10.2549210637026
"Chullora",2004-04-20,NA,13.6122273934344
"Chullora",2004-04-21,8.2,8.2
"Chullora",2004-04-22,10.3,10.3
"Chullora",2004-04-23,15.1,15.1
"Chullora",2004-04-24,8.3,8.3
"Chullora",2004-04-25,7.1,7.1
"Chullora",2004-04-26,10.4,10.4
"Chullora",2004-04-27,9.3,9.3
"Chullora",2004-04-28,5.7,5.7
"Chullora",2004-04-29,6.2,6.2
"Chullora",2004-04-30,8.1,8.1
"Chullora",2004-05-01,5.9,5.9
"Chullora",2004-05-02,5,5
"Chullora",2004-05-03,10.1,10.1
"Chullora",2004-05-04,9.2,9.2
"Chullora",2004-05-05,16,16
"Chullora",2004-05-06,13.2,13.2
"Chullora",2004-05-07,22.4,22.4
"Chullora",2004-05-08,15.8,15.8
"Chullora",2004-05-09,10.2,10.2
"Chullora",2004-05-10,6.7,6.7
"Chullora",2004-05-11,7.3,7.3
"Chullora",2004-05-12,8.1,8.1
"Chullora",2004-05-13,11.6,11.6
"Chullora",2004-05-14,17.3,17.3
"Chullora",2004-05-15,17.2,17.2
"Chullora",2004-05-16,17,17
"Chullora",2004-05-17,11.7,11.7
"Chullora",2004-05-18,15.2,15.2
"Chullora",2004-05-19,9.5,9.5
"Chullora",2004-05-20,11.3,11.3
"Chullora",2004-05-21,12.9,12.9
"Chullora",2004-05-22,14.7,14.7
"Chullora",2004-05-23,15.6,15.6
"Chullora",2004-05-24,14.8,14.8
"Chullora",2004-05-25,10.9,10.9
"Chullora",2004-05-26,7.1,7.1
"Chullora",2004-05-27,6.1,6.1
"Chullora",2004-05-28,5.8,5.8
"Chullora",2004-05-29,7.5,7.5
"Chullora",2004-05-30,10.9,10.9
"Chullora",2004-05-31,20.1,20.1
"Chullora",2004-06-01,13.8,13.8
"Chullora",2004-06-02,16.5,16.5
"Chullora",2004-06-03,9.7,9.7
"Chullora",2004-06-04,5.9,5.9
"Chullora",2004-06-05,13.4,13.4
"Chullora",2004-06-06,13.1,13.1
"Chullora",2004-06-07,16.5,16.5
"Chullora",2004-06-08,19.2,19.2
"Chullora",2004-06-09,16.4,16.4
"Chullora",2004-06-10,14.8,14.8
"Chullora",2004-06-11,7.1,7.1
"Chullora",2004-06-12,8.3,8.3
"Chullora",2004-06-13,11,11
"Chullora",2004-06-14,4.8,4.8
"Chullora",2004-06-15,6.6,6.6
"Chullora",2004-06-16,7.5,7.5
"Chullora",2004-06-17,8.9,8.9
"Chullora",2004-06-18,6.2,6.2
"Chullora",2004-06-19,4.5,4.5
"Chullora",2004-06-20,6.9,6.9
"Chullora",2004-06-21,9.4,9.4
"Chullora",2004-06-22,10.7,10.7
"Chullora",2004-06-23,13.1,13.1
"Chullora",2004-06-24,7.9,7.9
"Chullora",2004-06-25,7.2,7.2
"Chullora",2004-06-26,6.7,6.7
"Chullora",2004-06-27,10.2,10.2
"Chullora",2004-06-28,NA,11.5388754643488
"Chullora",2004-06-29,NA,10.1343691703947
"Chullora",2004-06-30,NA,8.62845214675096
"Chullora",2004-07-01,2.1,2.1
"Chullora",2004-07-02,NA,12.0899576226583
"Chullora",2004-07-03,14.7,14.7
"Chullora",2004-07-04,10.3,10.3
"Chullora",2004-07-05,12.2,12.2
"Chullora",2004-07-06,6.3,6.3
"Chullora",2004-07-07,5.4,5.4
"Chullora",2004-07-08,7.8,7.8
"Chullora",2004-07-09,12.4,12.4
"Chullora",2004-07-10,8.6,8.6
"Chullora",2004-07-11,5.1,5.1
"Chullora",2004-07-12,9.1,9.1
"Chullora",2004-07-13,7.5,7.5
"Chullora",2004-07-14,10,10
"Chullora",2004-07-15,11.5,11.5
"Chullora",2004-07-16,21.3,21.3
"Chullora",2004-07-17,10.6,10.6
"Chullora",2004-07-18,2.3,2.3
"Chullora",2004-07-19,3.4,3.4
"Chullora",2004-07-20,8.7,8.7
"Chullora",2004-07-21,9.9,9.9
"Chullora",2004-07-22,9.3,9.3
"Chullora",2004-07-23,11,11
"Chullora",2004-07-24,8.7,8.7
"Chullora",2004-07-25,NA,2.53695882164795
"Chullora",2004-07-26,18.8,18.8
"Chullora",2004-07-27,6.4,6.4
"Chullora",2004-07-28,4.5,4.5
"Chullora",2004-07-29,9.2,9.2
"Chullora",2004-07-30,10.8,10.8
"Chullora",2004-07-31,12,12
"Chullora",2004-08-01,12.9,12.9
"Chullora",2004-08-02,11.6,11.6
"Chullora",2004-08-03,8.1,8.1
"Chullora",2004-08-04,4.5,4.5
"Chullora",2004-08-05,4.7,4.7
"Chullora",2004-08-06,5.8,5.8
"Chullora",2004-08-07,8.7,8.7
"Chullora",2004-08-08,5,5
"Chullora",2004-08-09,6.1,6.1
"Chullora",2004-08-10,6.2,6.2
"Chullora",2004-08-11,5.5,5.5
"Chullora",2004-08-12,13.3,13.3
"Chullora",2004-08-13,6.3,6.3
"Chullora",2004-08-14,NA,4.87497948137989
"Chullora",2004-08-15,4.2,4.2
"Chullora",2004-08-16,6.3,6.3
"Chullora",2004-08-17,6.5,6.5
"Chullora",2004-08-18,4.4,4.4
"Chullora",2004-08-19,5.4,5.4
"Chullora",2004-08-20,10.3,10.3
"Chullora",2004-08-21,5.7,5.7
"Chullora",2004-08-22,5.3,5.3
"Chullora",2004-08-23,12.7,12.7
"Chullora",2004-08-24,14.2,14.2
"Chullora",2004-08-25,11.2,11.2
"Chullora",2004-08-26,15.5,15.5
"Chullora",2004-08-27,19.7,19.7
"Chullora",2004-08-28,11.1,11.1
"Chullora",2004-08-29,9.8,9.8
"Chullora",2004-08-30,5.1,5.1
"Chullora",2004-08-31,4.9,4.9
"Chullora",2004-09-01,7.8,7.8
"Chullora",2004-09-02,5,5
"Chullora",2004-09-03,4.9,4.9
"Chullora",2004-09-04,6.2,6.2
"Chullora",2004-09-05,4.6,4.6
"Chullora",2004-09-06,9.5,9.5
"Chullora",2004-09-07,12.9,12.9
"Chullora",2004-09-08,5.7,5.7
"Chullora",2004-09-09,NA,7.69155681628567
"Chullora",2004-09-10,4,4
"Chullora",2004-09-11,5.6,5.6
"Chullora",2004-09-12,2,2
"Chullora",2004-09-13,4.6,4.6
"Chullora",2004-09-14,4.9,4.9
"Chullora",2004-09-15,8.9,8.9
"Chullora",2004-09-16,6.7,6.7
"Chullora",2004-09-17,12.3,12.3
"Chullora",2004-09-18,7.7,7.7
"Chullora",2004-09-19,8.4,8.4
"Chullora",2004-09-20,4.9,4.9
"Chullora",2004-09-21,8.3,8.3
"Chullora",2004-09-22,8.2,8.2
"Chullora",2004-09-23,7,7
"Chullora",2004-09-24,4.4,4.4
"Chullora",2004-09-25,5.1,5.1
"Chullora",2004-09-26,8,8
"Chullora",2004-09-27,11.6,11.6
"Chullora",2004-09-28,NA,9.48117070679934
"Chullora",2004-09-29,NA,13.939827733823
"Chullora",2004-09-30,NA,3.7043425518088
"Chullora",2004-10-01,NA,3.12317232351659
"Chullora",2004-10-02,NA,3.44111751042098
"Chullora",2004-10-03,NA,5.66010468435777
"Chullora",2004-10-04,NA,6.72985089223585
"Chullora",2004-10-05,NA,6.73871736609216
"Chullora",2004-10-06,NA,6.49108056915008
"Chullora",2004-10-07,6.1,6.1
"Chullora",2004-10-08,4.1,4.1
"Chullora",2004-10-09,4.1,4.1
"Chullora",2004-10-10,5.5,5.5
"Chullora",2004-10-11,12.4,12.4
"Chullora",2004-10-12,11.7,11.7
"Chullora",2004-10-13,14.4,14.4
"Chullora",2004-10-14,14,14
"Chullora",2004-10-15,3.9,3.9
"Chullora",2004-10-16,3.2,3.2
"Chullora",2004-10-17,2.2,2.2
"Chullora",2004-10-18,2.3,2.3
"Chullora",2004-10-19,3,3
"Chullora",2004-10-20,3.6,3.6
"Chullora",2004-10-21,3.7,3.7
"Chullora",2004-10-22,5.5,5.5
"Chullora",2004-10-23,NA,4.93576670134759
"Chullora",2004-10-24,NA,3.60235849334173
"Chullora",2004-10-25,4.8,4.8
"Chullora",2004-10-26,8.5,8.5
"Chullora",2004-10-27,6.6,6.6
"Chullora",2004-10-28,4.6,4.6
"Chullora",2004-10-29,4.6,4.6
"Chullora",2004-10-30,4.8,4.8
"Chullora",2004-10-31,4.8,4.8
"Chullora",2004-11-01,10.5,10.5
"Chullora",2004-11-02,7.2,7.2
"Chullora",2004-11-03,NA,3.27094570175857
