"year","month","day","hour","station_name","wind_direction_measured_in_degrees","visibility_in_km","lats","longs","present_weather_as_international_code","past_weather_as_international_code","gid"
1996,2,1,12,"KATOOMBA (MURRI ST)",270,10,-33.7122,150.3087,6,1,55
1996,2,1,15,"KATOOMBA (MURRI ST)",270,10,-33.7122,150.3087,6,1,56
1996,2,1,18,"KATOOMBA (MURRI ST)",270,20,-33.7122,150.3087,6,1,57
1996,2,1,9,"ORANGE AIRPORT COMPARISON",220,10,-33.3815,149.1229,6,1,58
1996,2,1,9,"ORANGE AGRICULTURAL INSTITUTE",270,10,-33.3211,149.0828,2,6,59
1996,2,1,9,"OBERON (JENOLAN CAVES ROAD)",270,4,-33.74,149.8822,6,1,60
1996,2,1,15,"COONABARABRAN (NAMOI STREET)",270,50,-31.2712,149.2714,6,1,61
1996,2,1,9,"SYDNEY AIRPORT AMO",300,8,-33.9411,151.1725,7,1,62
1996,2,1,12,"SYDNEY AIRPORT AMO",210,10,-33.9411,151.1725,6,1,63
1996,2,1,9,"SYDNEY (OBSERVATORY HILL)",0,15,-33.8607,151.205,7,2,64
1996,2,1,12,"SYDNEY (OBSERVATORY HILL)",0,15,-33.8607,151.205,7,2,65
1996,2,1,9,"RICHMOND RAAF",280,7,-33.6004,150.7761,6,1,66
1996,2,1,15,"RICHMOND RAAF",250,15,-33.6004,150.7761,6,1,67
1996,2,1,18,"RICHMOND RAAF",240,20,-33.6004,150.7761,6,1,68
1996,2,1,9,"LAKE CARGELLIGO AIRPORT",270,10,-33.2833,146.3707,8,1,69
1996,2,1,3,"MILDURA AIRPORT",260,25,-34.2358,142.0867,6,0,70
1996,2,1,6,"MILDURA AIRPORT",260,25,-34.2358,142.0867,6,1,71
1996,2,1,9,"OUYEN (POST OFFICE)",250,50,-35.0694,142.3158,80,30,72
1996,2,1,15,"ECHUCA  AERODROME",250,20,-36.1647,144.7642,7,2,73
2007,5,4,15,"MOUNT ISA AERO",122,40,-20.6778,139.4875,8,8,74
2007,5,4,9,"ORANGE AIRPORT COMPARISON",230,6,-33.3815,149.1229,6,6,75
2007,5,4,3,"MILDURA AIRPORT",293,20,-34.2358,142.0867,6,6,76
2007,5,4,6,"MILDURA AIRPORT",308,25,-34.2358,142.0867,6,6,77
