"refid","field1","field2","field3","field4","field5","field6","field7","field8","field9","field10","field11","field12","field13","field14","field15","field16","field17","field18","field19","field20","field21","field22","field23","field24","field25","field26","field27","field28","field29","field30","field31","field32","field33","field34","field35","field36","field37","field38","field39","field40","field41"
720,,,,2007,"may 10: hs vis in bunburry, no vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2007130/crefl2_143.A2007130053001-2007130053500.500m.jpg",,
722,,,,2007,"june1: hs vis in bunburry, no visisble smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2007152/crefl1_143.A2007152021500-2007152022000.500m.jpg",,
737,,,,2007,"oct 23: hs with vis smoke in busselton, WA",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2007296/crefl2_143.A2007296063000-2007296063500.250m.jpg",,
723,,,,2006,"oct 10: hs and vis smoke in albany WA",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006283/crefl2_143.A2006283055500-2006283060000.500m.jpg",,
445,,,,2004,"jan 3: two hs vis in perth, no vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004003/crefl1_143.A2004003024500-2004003025001.500m.jpg",,
724,,,,2006,"dec 7: vis smoke in albury NSW",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006341/crefl1_143.A2006341234000-2006341234500.500m.jpg",,
651,,,"Price, Owen",2002,"A 43 ha fire starts at Timber Beach in Newcastle. Burns til 28th",,"Owen Price",,,,,,,,,,,,"Bushfire",,,,,,,,,"government",,,,"Newcastle",,,,,,,,,
446,,,,2004,"dec 15: single hs vis in perth, no vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004350/crefl1_143.A2004350022501-2004350023001.500m.jpg",,
1,,,"Walsh, Sean",2004,"AIR QUALITY DURING VICTORIAN BUSHFIRES OF 2002-03",,"VIC EPA report",,,,,,,,,,,,,,,,,,,,,"government",,,,,,,,,,,"http://epanote2.epa.vic.gov.au/EPA/publications.nsf/2f1c2625731746aa4a256ce90001cbb5/54e249d53613f507ca256dc50004b7e0/$FILE/SR5.pdf",,
418,,,,2002,"Nov 20:NSW fires continue to burn",,"the age",,,,,,,,,,,,,,,,,,,,,"media","Bushfires in remote NSW are dogging firefighters who are battling to contain them, the Rural Fire Service said.

A fire which has raged for over a month in the Bala Range, inland from the NSW central coast, has ravaged more than 70,000 hectares and is still not contained.

Several thousand hectares also have burnt out in the Morton National Park, in southern NSW, RFS spokesman Cameron Wade said.

Lightning strikes yesterday set off new fires in the Eurobodalla, south of Batemans Bay, taking the total number of bushfires for the state to 34.

About 200 firefighters were currently tackling the fires but there was no immediate threat to property and most blazes were contained, Mr Wade said.


""Everything is just really serious in the remote areas,"" he said.

""Heat is not the problem but if we get the winds that is going to be an issue.""

Mr Wade said high winds were not a concern and the forecast looked promising for the next couple of days with the likelihood of showers on Thursday.

A total fire ban still remains in place for the Sydney Metropolitan, Illawarra, Hunter, North West Plains, Central Western Plains and Slopes.",,,,,,,,,,"http://www.theage.com.au/articles/2002/11/20/1037697722129.html",,
18,,,,2002,"5 hotspots located in perth vicinity 11/8/2002",,"modis rapidfire",,,,,,,,,,,,,,,,,,,,,"modis hotspot","5 hotspots found, no visible smoke",,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2002312/crefl1_143.A2002312023001-2002312023500.500m.jpg",,
19,,,,2003,"  one hotspot visible near perth jan 16",,"modis rapidfire",,,,,,,,,,,,,,,,,,,,,"modis hotspot","1 hotspot, no visible smoke",,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2003016/crefl1_143.A2003016024500-2003016024959.500m.jpg",,
20,,,,2004,"over 40 hotspots surrounding perth apr 29",,"modis rapidfire",,,,,,,,,,,,,,,,,,,,,"modis hotspot","over 40 hotspots in wa",,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004120/crefl2_143.A2004120054000-2004120054500.500m.jpg",,
21,,,,2004,"large hotspot area shown north of perth dec  14",,"modis rapidfire",,,,,,,,,,,,,,,,,,,,,"modis hotspot","one larger hotspot shown far north of perth",,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004349/crefl2_143.A2004349060000-2004349060500.500m.jpg",,
761,,,,2003,"dec 26  fire in NSW, smoke reaching Sydney",,"TOMS",,,,,,,,,,,,,,,,,,,,,"toms","sarah henderson assessment 9/2/2010",,,,,,,,,,,,
124,,,,2001,"NSW: Bushfire threat escalates with strong winds jan 13-19",,"aap general news",,,,,,,,,,,,,,,,,,,,,"media","AAP General News (Australia) 
01-17-2001 
NSW: Bushfire threat escalates with strong winds, high temps 

The Rural Fire Service says the bushfire emergency in western New South Wales' has 
escalated, with nine blazes about to break containment lines. 

Local crews contained 12 bushfires burning in the Cobar region overnight, but soaring 
temperatures and strong winds flared nine of the blazes shortly after midday today. 

Spokesman CAMERON WADE says winds picked up from the west an hour ago, and temperatures 
have risen dramatically. 

The largest fire is burning across 18,000 hectares of land, with the smallest spanning 
1,500 ...",,,,,,,,,,"http://www.highbeam.com/doc/1P1-39621183.html",,
125,,,"Dutter, Barbie",2002,"Two Die as Sydney bushfires intensify dec 7",,"Telegraph.co.uk",,,,,,,,,,,,,,,,,,,,,"media","Two die as Sydney bushfires intensify
 
By Barbie Dutter in Sydney
Published: 12:01AM GMT 07 Dec 2002

Sydney's worst bushfire crisis in 30 years intensified yesterday as ferocious blazes killed an elderly man, threatened scores of homes and caused gridlock on the roads.

For a third consecutive day flames caused havoc and destruction in bushland neighbourhoods to the north, south and west of the city. About 4,500 firemen battled round the clock to prevent the fires from advancing into the main residential suburbs.

 
Related Articles
Fires threaten Sydney 
News in brief Winds continued to fan walls of flame and carried embers up to six miles, causing countless fires. In all, 79 were burning across drought-stricken New South Wales.

The body of an 81-year-old man was discovered in his incinerated caravan in Maroota, north of Sydney. His death followed that of an elderly farmer who apparently had a heart attack while trying to save his horses.

More than 20 homes have been destroyed during the three-day emergency and major roads in fire-affected areas have been closed for many hours at a time, causing commuter chaos.

The fires have also caused severe power failures and water shortages, threatened communications and forced the closure of several schools.

Cooler weather is forecast for the weekend, but blistering conditions are due to return on Monday.

An 18-year-old mentally-impaired youth appeared in court accused of starting a fire that destroyed four homes, swept through an army base and caused £500,000 damage. He faces up to 14 years in prison if convicted",,,,,,,,,,"http://www.telegraph.co.uk/news/worldnews/australiaandthepacific/australia/1415480/Two-die-as-Sydney-bushfires-intensify.html",,
725,,,,2006,"dec 12: massive smoke vis in albury NSW",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006346/crefl2_143.A2006346033000-2006346033459.500m.jpg",,
726,,,,2006," dec 18: massive hs and smoke in albury region NSW",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006352/crefl1_143.A2006352002001-2006352002500.500m.jpg",,
161,,,,2001,"Major Historic Bushfires; Sydney Christmas Fires dec 21-jan13",,"Australian Government Geoscience Australia",,,,,,,,,,,,,,,,,,,,,"government","The longest official continuous bushfire emergency in New South Wales was between 21 December 2001 and 13 January 2002 when widespread severe bushfires burned throughout much of the State and the Australian Capital Territory. In New South Wales the alert covered the north east, the central coast, the Greater Sydney region, the Blue Mountains, the central west, and the south coast and hinterland. The emergency occurred during mainly extreme weather conditions across eastern New South Wales. Unusual fire behaviour was observed in many areas as a result of variable winds and extremely dry fuel. Source: Emergency Management Australia",,,,,,,,,,"http://www.ga.gov.au/hazards/bushfire/historic.jsp",,
447,,,,2004,"DEC 19: single hs vis in perth region, no vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004354/crefl1_143.A2004354020001-2004354020500.500m.jpg",,
169,,,,2006,"summary of major bushfires; NSW jan 1",,"IT Cental University of Tasmania",,,,,,,,,,,,,,,,,,,,,"internet",,,,,,,,,,,"http://home.iprimus.com.au/foo7/firesnsw.html",,
727,,,,2007,"jan 9: hs near albury, vis smoke all over the region NSW",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2007009/crefl2_143.A2007009035501-2007009040001.500m.jpg",,
738,,,,2007,"may 9: vis hs near Geraldton, WA, no vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2007129/crefl2_143.A2007129062500-2007129063000.500m.jpg",,
728,,,,2007,"jan 13: hs in albury with massive smoke visible NSW",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2007013/crefl2_143.A2007013033000-2007013033500.500m.jpg",,
448,,,,2004,"Dec 26: couple hs vis surrounding perth regions, hs north has vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004361/crefl2_143.A2004361062500-2004361062959.500m.jpg",,
126,,,,2003,"Back burning creates smoke haze over sydney sep 5",,"smh.com.au",,,,,,,,,,,,,,,,,,,,,"media","

Home   >   National News   >   Article 
Back burning creates smoke haze over Sydney
September 5, 2003 - 1:15PM

   Print this article  
  Email to a friend  
 


Sydneysiders woke to the smell of smoke today, as firefighters continued preparations for the opening of the statutory bush fire danger period on October 1.

The smoke haze over the city this morning came from a 373 hectare hazard reduction burn on the Cowan Track in Ku-ring-gai Chase National Park, a fire brigade spokesman said.

The two day burn by the NSW Rural Fire Service (RFS) and National Parks and Wildlife Service (NPWS) is designed to provide strategic protection for Duffy's Forest and Terrey Hills this summer, and RFS spokesman said.

It is also designed to reduce the intensity of any wildfires that may ignite in the Bobbin Head section of the park over the bushfire season.

More smoke is expected over the weekend, from 35 hazard reduction burns planned for a 3,400 hectare area.

An RFS spokesman said hundreds of RFS volunteers were preparing drip torches and firefighting equipment to reduce bushfire fuels in Baulkham Hills, Gosford, Hawkesbury, Sutherland, Warringah Pittwater, Wingecarribee and Wyong. 


   advertisement 
    
   advertisement 

RFS Commissioner Phil Koperberg said the strategic hazard reduction burns were part of ongoing protection measures for urban areas backing on to bushland.

""We hope the weather conditions are favourable this weekend so we can use the final weeks of mild temperatures for safe, effective hazard reduction burning,"" he said.

Mr Koperberg said only intermittent rain had fallen during during April, May and June with very strong winds also causing problems.

""We are committed to doing hazard reduction, but it will not stop a bushfire completely, so members of the public should also be using this opportunity to prepare their homes properly against bushfires and ember attack before the bushfire season begins,"" the Commissioner said.

AAP",,,,,,,,,,"http://www.smh.com.au/articles/2003/09/05/1062549003806.html",,
127,,,,2003,"new arson warning as bushfires blaze across nsw spe 25",,"aap general news au",,,,,,,,,,,,,,,,,,,,,"media","AAP General News (Australia) 
09-25-2003 
NSW: New arson warning as bushfires blaze across NSW 

By Janine O'Neill, Police Reporter 

SYDNEY, Sept 25 AAP - Almost 70 bushfires burned across NSW today as a fire chief warned 
that arson attacks were reaching near epidemic proportions. 

Law enforcement agencies pleaded with the public to help avoid devastation by remaining 
vigilant and reporting any suspected arson attacks during the coming bushfire danger period. 

NSW Rural Fire Service Commissioner Phil Koperberg said 67 fires were already burning 
across NSW, most in remote bushland areas that so far posed no major danger to property 
or the public. 

However, several fires came close to ...",,,,,,,,,,"http://www.highbeam.com/doc/1P1-82197710.html",,
420,,,,2002,"dec 16: NSW: Firefighters battle new blaze in national park near Sydney",,"aap",,,,,,,,,,,,,,,,,,,,,"media","NSW: Firefighters battle new blaze in national park near Sydney 

SYDNEY, Dec 16 AAP - A helitanker and 12 fire trucks are fighting a new bushfire that broke out today in the Royal National Park, south of Sydney. 

More than 50 firefighters have been sent to the fire, which has burnt out about four hectares of bushland near the Princes Highway at Loftus, 50km south of Sydney. 

A spokeswoman for the National Parks and Wildlife Service said the fire erupted just before midday (AEDT). 

""There are four aircraft involved at the moment, including one air crane,"" she said. 

""The winds are quite calm and crews are working to contain it. It just depends",,,,,,,,,,"http://www.highbeam.com/doc/1P1-70401400.html",,
129,,,,2004,"single hotspot visible no vis smoke  in perth region feb 4",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004035/crefl1_143.A2004035024500-2004035025000.500m.jpg",,
130,,,,2004,"Fire fighters battle buch blazes near Perth feb 3",,"abc news online",,,,,,,,,,,,,,,,,,,,,"media","Firefighters battle bush blazes near Perth
Three firefighters have been injured while battling a large bushfire in the Chittering area, north east of Perth.

The blaze has burnt through more than 500 hecatares of land, destroying a derelict house and several sheds.

Russell Stevens, from Fire and Emergency Services, says three firefighters have been taken to hospital for treatment for minor injuries.

Another fire is threatening two prisons and properties in Woorooloo, Clackline and Wundowie, east of Perth.

Acacia and Wooroloo prisons have not been evacuated at this stage, but there are reports of damaged vehicles and air conditioners at Acacia prison.

Print  Email",,,,,,,,,,"http://www.abc.net.au/news/australia/wa/200402/s1037436.htm",,
449,,,,2004,"Dec 27: hs vis in perth region, larger hs north of perth with smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004362/crefl1_143.A2004362025001-2004362025500.500m.jpg",,
132,,,,2003,"Winds expected to fan bushfire oct 30, newcastle",,"abc news online",,,,,,,,,,,,,,,,,,,,,"media","Strong westerly winds are predicted to hamper firefighters' efforts to control a large bushfire today, which has burnt out about 1,000 hectares in the Williamtown area, north of Newcastle.

The blaze started yesterday when an abandoned car was set alight on Hunter Water Corporation land near Grahamstown Dam, which quickly spread to nearby bushland and the perimeter of the RAAF base.

Rural Fire Service incident controller Allan Gillespie says while 90 per cent of the fire has been contained overnight, there is concern for an inaccessible area west of the Williamtown base.",,,,,,,,,,"http://www.abc.net.au/news/newsitems/200310/s978467.htm",,
729,,,,2007,"jan 14: vis hs in albury with tons of smoke visible in NSW",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2007014/crefl2_143.A2007014041500-2007014041959.500m.jpg",,
730,,,,2007,"feb 12: hs and vis smoke in Albany WA",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2007043/crefl2_143.A2007043052500-2007043053000.500m.jpg",,
739,,,,2004,"feb 21: vis hs in Tamworth, no vis smoke NSW",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004052/crefl1_143.A2004052001001-2004052001500.500m.jpg",,
740,,,,2005,"feb 8: hs vis in Tamworth, with some vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2005039/crefl2_143.A2005039033001-2005039033500.500m.jpg",,
731,,,,2008,"april 1: hs surrounding Albury, NSW no vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2008092/crefl2_143.A2008092035500-2008092035959.500m.jpg",,
732,,,,2009,"feb 7: hs and visible smoke in albury nsw",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2009038/crefl2_143.A2009038045000-2009038045500.250m.jpg",,
733,,,,2009,"Feb 8: lots of visible smoke, hs around albury NSW",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2009039/crefl2_143.A2009039035500-2009039040000.250m.jpg",,
734,,,,2009,"Feb 9: smoke all over albury region, NSW",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2009040/crefl1_143.A2009040002000-2009040002500.500m.jpg",,
741,,,,2007,"oct 3: several hs vis in Tamworth, some vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2007276/crefl2_143.A2007276034001-2007276034500.500m.jpg",,
735,,,,2004,"march 25: vis hs, no vis smoke in Bathurst, NSW",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004085/crefl2_143.A2004085033001-2004085033500.500m.jpg",,
736,,,,2006,"dec 1: hs in bathurst region with vis smoke all over area, NSW",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006335/crefl2_143.A2006335035000-2006335035459.500m.jpg",,
683,,,,2003,"jan 26: massive smoke and hs vis in bathurst",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2003026/crefl1_143.A2003026000500-2003026000959.500m.jpg",,
133,,,,2003,"NSW: Bushfire stopped before reaching south coast town Dec 19-23",,"aap general news",,,,,,,,,,,,,,,,,,,,,"media","AAP General News (Australia) 
12-23-2003 
NSW: Bushfire stopped before reaching south coast town 

Backburning and easing winds have reduced the threat of a bushfire which came within 
one kilometre of the town Hyams Beach on the New South Wales south coast. 

The blaze began about 1.30pm (AEDT) yesterday afternoon, and Hyams Beach was enveloped 
by black smoke when a blaze ...",,,,,,,,,,"http://www.highbeam.com/doc/1P1-88762039.html",,
421,,,,2006,"april 4: two hs vis west of syd with vis smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006094/crefl1_143.A2006094003000-2006094003500.500m.jpg",,
135,,,,2003,"Hotspot visible east perth nov 8 (date not in data sheet)",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2003312/crefl2_143.A2003312061001-2003312061500.500m.jpg",,
136,,,,2002,"single, small hotspot visible in south perth jan 17",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2002017/crefl1_143.A2002017022500-2002017023000.500m.jpg",,
137,,,,2004,"Fires break out as temperatures soar oct 13 sydney east, newcastle",,"The sydney morning herald (smh.com.au)",,,,,,,,,,,,,,,,,,,,,"media","Record temperatures scorched Sydney today, as dozens of fires charred NSW and marked the start of another gruelling bushfire season.

The temperature at Observatory Hill in the CBD reached 38.2 degrees Celsius by mid-afternoon, making it Sydney's hottest October day since records began a century and a half ago.

The month's previous hottest day was more than six decades ago - October 4, 1942 - when the temperature in Sydney's CBD peaked at 37.4 degrees.

""I think it's going to be a little bit cooler tomorrow but still fairly hot,"" said a weather bureau spokesman.

Outside the city, some 25 spot fires raged from Nowra on the state's south coast to the central coast and the Hunter Valley.

The worst blaze encroached on the outskirts of several rural properties and seriously threatened hundreds of homes in suburban North Nowra. Two sheds were destroyed.

The blaze, which destroyed over 200 hectares of bushland and was expected to rage overnight, forced the evacuation of at least 50 people.

About 100 firefighters from the NSW Fire Brigades and Rural Fire Service were working into the night to control the flames with the help of three helicopters.

Advertisement
 Advertisement
 Another serious inferno, at Morisset near Newcastle north of Sydney, claimed 100 hectares of bushland and threatened the main Sydney-Newcastle rail line, which was closed briefly.

After emergency services were called in about 11am (AEST), about 100 firefighters from the NSW Fire Brigades and Rural Fire Service managed to bring the fire under control by late afternoon.

""Any day like today is going to produce fires of high intensity and they'll also be fast moving,"" NSW Fire Brigades spokesman Inspector Gordon Boath said.

He said the high-risk conditions brought by the heat were made worse by the dryness of the fuel.

A total fire ban was declared for most of central and eastern NSW until at least midnight tonight",,,,,,,,,,"http://www.smh.com.au/articles/2004/10/13/1097607257054.html",,
138,,,,2004,"NSW: bushfire could threaten gosford as heatwave continues Dec 1",,"aap general news",,,,,,,,,,,,,,,,,,,,,"media","AAP General News (Australia) 
12-01-2004 
NSW: Bushfire could threaten Gosford as heatwave continues 

SYDNEY, Dec 1 AAP - A bushfire could threaten properties at Gosford on the NSW central 
coast as the statewide heatwave continues today. 

NSW Rural Fire Service media officer Cameron Wade said the fire was burning in the 
Rumbalara nature reserve, located in the middle of ""a number"" of properties. 

The flames were not currently threatening properties but could if winds picked up, he said. 

Nine firefighting units had been working to contain the blaze since 2am (AEDT) today. 

The blaze was one of 20 small bushfires burning across the state, Mr Wade said. 

Meanwhile, the RFS expanded the ...",,,,,,,,,,"http://www.highbeam.com/doc/1P1-103001641.html",,
22,,,,2005,"hotspot found near perth jan 15",,"modis rapidfire",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2005013/crefl2_143.A2005013061000-2005013061500.500m.jpg",,
